cln_acc,rob_acc,backdoor_acc,bst_cln_acc,bst_rob_acc,epoch
10.0,9.57,100.0,10.0,9.57,0
10.07,6.11,99.72222222222223,10.07,9.57,1
10.74,6.0,97.36666666666666,10.74,9.57,2
11.26,5.91,95.56666666666666,11.26,9.57,3
11.61,6.3,94.46666666666667,11.61,9.57,4
11.81,5.39,93.21111111111111,11.81,9.57,5
12.44,5.72,89.91111111111111,12.44,9.57,6
11.1,7.54,96.61111111111111,12.44,9.57,7
12.48,5.74,89.95555555555555,12.48,9.57,8
12.35,2.38,93.38888888888889,12.48,9.57,9
15.59,0.27,98.0111111111111,15.59,9.57,10
